FOLD,TP,TN,FP,FN,precision,recall,F-Measure,Acc,Err
0,7,26,2,0,0.778,1,0.875,0.943,0.057
1,4,27,1,3,0.800,0.571,0.667,0.886,0.114
2,6,27,1,1,0.857,0.857,0.857,0.943,0.057
3,6,28,0,1,1,0.857,0.923,0.971,0.029
4,6,27,1,1,0.857,0.857,0.857,0.943,0.057
5,6,28,0,1,1,0.857,0.923,0.971,0.029
6,6,27,1,1,0.857,0.857,0.857,0.943,0.057
7,7,28,1,0,0.875,1,0.933,0.972,0.028
8,7,29,0,0,1,1,1,1,0
9,6,29,0,1,1,0.857,0.923,0.972,0.028
