FOLD,TP,TN,FP,FN,precision,recall,F-Measure,Acc,Err
0,1,22,1,11,0.500,0.083,0.143,0.657,0.343
1,1,21,2,11,0.333,0.083,0.133,0.629,0.371
2,3,22,1,8,0.750,0.273,0.400,0.735,0.265
3,1,23,0,11,1,0.083,0.154,0.686,0.314
4,2,23,0,10,1,0.167,0.286,0.714,0.286
5,1,23,0,11,1,0.083,0.154,0.686,0.314
6,0,22,1,12,0,0,0,0.629,0.371
7,1,24,0,11,1,0.083,0.154,0.694,0.306
8,0,23,0,13,0,0,0,0.639,0.361
9,2,23,0,11,1,0.154,0.267,0.694,0.306
