FOLD,TP,TN,FP,FN,precision,recall,F-Measure,Acc,Err
0,11,23,0,1,1.000,0.917,0.957,0.971,0.029
1,12,23,0,0,1.000,1.000,1.000,1.000,0.000
2,11,22,1,1,0.917,0.917,0.917,0.943,0.057
3,12,23,0,0,1.000,1.000,1.000,1.000,0.000
4,11,23,0,1,1.000,0.917,0.957,0.971,0.029
5,11,23,0,1,1.000,0.917,0.957,0.971,0.029
6,10,23,0,2,1.000,0.833,0.909,0.943,0.057
7,12,24,0,0,1.000,1.000,1.000,1.000,0.000
8,13,22,1,0,0.929,1.000,0.963,0.972,0.028
9,13,21,2,0,0.867,1.000,0.929,0.944,0.056
