FOLD,TP,TN,FP,FN,precision,recall,F-Measure,Acc,Err
0,7,28,0,0,1.000,1.000,1.000,1.000,0.000
1,6,28,0,1,1.000,0.857,0.923,0.971,0.029
2,7,28,0,0,1.000,1.000,1.000,1.000,0.000
3,7,28,0,0,1.000,1.000,1.000,1.000,0.000
4,6,28,0,1,1.000,0.857,0.923,0.971,0.029
5,6,28,0,1,1.000,0.857,0.923,0.971,0.029
6,7,27,1,0,0.875,1.000,0.933,0.971,0.029
7,5,28,1,2,0.833,0.714,0.769,0.917,0.083
8,6,29,0,1,1.000,0.857,0.923,0.972,0.028
9,7,28,1,0,0.875,1.000,0.933,0.972,0.028
