FOLD,TP,TN,FP,FN,precision,recall,F-Measure,Acc,Err
0,7,28,0,0,1.000,1.000,1.000,1.000,0.000
1,4,28,0,3,1.000,0.571,0.727,0.914,0.086
2,7,28,0,0,1.000,1.000,1.000,1.000,0.000
3,7,28,0,0,1.000,1.000,1.000,1.000,0.000
4,7,28,0,0,1.000,1.000,1.000,1.000,0.000
5,6,28,0,1,1.000,0.857,0.923,0.971,0.029
6,6,28,0,1,1.000,0.857,0.923,0.971,0.029
7,6,28,1,1,0.857,0.857,0.857,0.944,0.056
8,5,29,0,2,1.000,0.714,0.833,0.944,0.056
9,7,29,0,0,1.000,1.000,1.000,1.000,0.000
