FOLD,TP,TN,FP,FN,Precision,recall,F-Measure,Acc,Err
0,5,29,0,1,1,0.833,0.909,0.971,0.029
1,4,29,0,2,1,0.667,0.800,0.943,0.057
2,6,29,0,0,1,1,1,1,0
3,6,29,0,0,1,1,1,1,0
4,6,29,0,0,1,1,1,1,0
5,6,28,1,0,0.857,1,0.923,0.971,0.029
6,4,28,1,2,0.800,0.667,0.727,0.914,0.086
7,6,29,1,0,0.857,1,0.923,0.972,0.028
8,4,29,1,2,0.800,0.667,0.727,0.917,0.083
9,6,29,0,1,1,0.857,0.923,0.972,0.028
