FOLD,TP,TN,FP,FN,Precision,recall,F-Measure,Acc,Err
0,6,29,0,0,1,1,1,1,0
1,6,29,0,0,1,1,1,1,0
2,6,29,0,0,1,1,1,1,0
3,6,27,2,0,0.750,1,0.857,0.943,0.057
4,5,29,0,1,1,0.833,0.909,0.971,0.029
5,6,29,0,0,1,1,1,1,0
6,6,29,0,0,1,1,1,1,0
7,6,30,0,0,1,1,1,1,0
8,6,30,0,0,1,1,1,1,0
9,7,29,0,0,1,1,1,1,0
