FOLD,TP,TN,FP,FN,precision,recall,F-Measure,Acc,Err
0,10,25,0,0,1,1,1,1,0
1,10,25,0,0,1,1,1,1,0
2,8,25,0,2,1,0.800,0.889,0.943,0.057
3,10,24,1,0,0.909,1,0.952,0.971,0.029
4,10,25,0,0,1,1,1,1,0
5,10,25,0,0,1,1,1,1,0
6,10,25,0,0,1,1,1,1,0
7,10,26,0,0,1,1,1,1,0
8,8,26,0,2,1,0.800,0.889,0.944,0.056
9,10,26,0,0,1,1,1,1,0
