FOLD,TP,TN,FP,FN,precision,recall,F-Measure,Acc,Err
0,10,25,0,0,1,1,1,1,0
1,10,24,1,0,0.909,1,0.952,0.971,0.029
2,10,24,1,0,0.909,1,0.952,0.971,0.029
3,10,24,1,0,0.909,1,0.952,0.971,0.029
4,10,25,0,0,1,1,1,1,0
5,10,23,2,0,0.833,1,0.909,0.943,0.057
6,9,25,0,1,1,0.900,0.947,0.971,0.029
7,9,26,0,1,1,0.900,0.947,0.972,0.028
8,9,26,0,1,1,0.900,0.947,0.972,0.028
9,10,25,1,0,0.909,1,0.952,0.972,0.028
