FOLD,TP,TN,FP,FN,precision,recall,F-Measure,Acc,Err
0,12,21,2,0,0.857,1,0.923,0.943,0.057
1,12,23,0,0,1,1,1,1,0
2,11,21,2,0,0.846,1,0.917,0.941,0.059
3,11,23,0,1,1,0.917,0.957,0.971,0.029
4,12,23,0,0,1,1,1,1,0
5,12,20,3,0,0.800,1,0.889,0.914,0.086
6,9,20,0,3,1,0.750,0.857,0.906,0.094
7,11,24,0,1,1,0.917,0.957,0.972,0.028
8,12,22,1,1,0.923,0.923,0.923,0.944,0.056
9,11,22,1,2,0.917,0.846,0.880,0.917,0.083
