FOLD,TP,TN,FP,FN,Precision,recall,F-Measure,Acc,Err
0,6,29,0,0,1.000,1.000,1.000,1.000,0.000
1,6,29,0,0,1.000,1.000,1.000,1.000,0.000
2,6,29,0,0,1.000,1.000,1.000,1.000,0.000
3,6,27,2,0,0.750,1.000,0.857,0.943,0.057
4,5,29,0,1,1.000,0.833,0.909,0.971,0.029
5,6,29,0,0,1.000,1.000,1.000,1.000,0.000
6,6,29,0,0,1.000,1.000,1.000,1.000,0.000
7,6,30,0,0,1.000,1.000,1.000,1.000,0.000
8,6,30,0,0,1.000,1.000,1.000,1.000,0.000
9,7,29,0,0,1.000,1.000,1.000,1.000,0.000
